name,avatar,description,education,affiliation,specialty,locations,website
"Ka Ling (Karin) Cheung, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Karin-Cheung-Pulmonary-Medicine-Specialist-1.jpg,"Dr. Ka Ling (Karin) Cheung serves as apulmonaryandsleep medicine specialistin ourWalnut Creek office. Dr. Cheung is also the current medical director for Respiratory Care and Pulmonary Rehabilitation Services at the John Muir Medical Center.Dr. Cheung received her undergraduate education and medical school training at Erasmus University, Rotterdam, in the Netherlands.Dr. Cheung completed her medical residency at Graduate Hospital of theUniversity of Pennsylvaniaand her pulmonary, critical care and sleep fellowship atYale.Dr. Cheungbegan working in pulmonary and sleep medicine atNanticoke Memorial Hospitalin Seaford, Delaware in 1997 and stayed until 2001. At Nanticoke, Dr. Cheung directed the Pulmonary Function Lab and Respiratory Care Department. From 2001-2003, she was a pulmonologist/intensivist/sleep physician with Abington Pulmonary and Critical Care Associates in Abington, Pennsylvania.Dr. Cheung has been working in California since 2003 when she joined the Respiratory Medical Group (now part of BASS Medical Group) and the John Muir medical staff.Dr. Cheungis board certified in internal medicine, pulmonary diseases, critical care medicine, and sleep medicine. She is also a member of the American College of Chest Physicians, American Thoracic Society, Society of Critical Care Medicine and American Academy of Sleep Medicine.Dr. Cheung speaks English, Dutch, Chinese, German, and French. She enjoys golf, hiking, reading, nature photography, travel, modern jazz and classical music.Medical School:Erasmus University Medical School inRotterdam, The NetherlandsInternship:Graduate Hospital of theUniversity of Pennsylvaniain PhiladelphiaResidency:Graduate Hospital of theUniversity of Pennsylvaniain PhiladelphiaFellowship:Yale University New Haven Hospital in ConnecticutJohn Muir Health Walnut Creek Medical Center","Medical School:Erasmus University Medical School inRotterdam, The Netherlands, Internship:Graduate Hospital of the, University of Pennsylvania, in Philadelphia, Residency:Graduate Hospital of the, University of Pennsylvania, in Philadelphia, Fellowship:Yale University,  New Haven Hospital in Connecticut",John Muir Health Walnut Creek Medical Center,"Pulmonary Disease, Sleep Medicine, Critical Care Medicine","Walnut Creek 130 La Casa Via Building 2 Suite 208 Walnut Creek, CA 94598 Ph: 925-944-0166 Fx: 925-944-6355 | Walnut Creek 1455 Montego Suite 102, Walnut Creek, CA 94598 Ph: 925-935-7667 Fx: 925-945-7667 | Brentwood 141 Sand Creek Rd, Suite B Brentwood, CA 94513 Ph: 925-935-7667 Fx: 925-945-7667",www.rmgmd.com
"Mary K. Cardoza, MD, FACS",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Mary-Cardoza-Breast-Surgeon.jpg,"A fourth-generation Californian, Dr. Mary Cardoza attended high school in Palo Alto then attendedYale, where she received a Bachelor of Science in biology. Dr. Cardozareceived her M.D. from theUCLA School of Medicinein 1987 and then completed hergeneral surgeryresidency with theUC Davis East Bay program. Dr. Cardoza spent her lab year doing cancer research at the Martinez VA Hospital and at UC Davis.Dr. Cardoza began her surgical practice in Contra Costa County in 1995.Dr. Cardoza has a special interest inbreast surgeryand has been one of the main surgeons for the Every Woman Counts breast cancer screening program at the John Muir Medical Center. The program provides breast cancer screening and diagnostic services for uninsured women.Dr. Cardoza serves as the Director of Breast Health Services at Sutter Delta Medical Center and is the surgeon for the Every Woman Counts program based there, as well. In addition to her interest in diseases of the breast, Dr. Cardoza performs gallbladder, thyroid, and colon surgeries as well as hernia repairs.Dr. Cardoza is currently the Chairman of Department of Surgery at John Muir Medical Center Concord and maintains privileges at the John Muir Medical Center Walnut Creek, Sutter Delta Medical Center in Antioch and several local surgery centers.Dr. Cardoza is certified by theAmerican Board of Surgeryand is a Fellow of theAmerican College of Surgeons.Medical School:University of California Los AngelesInternship:Department of Surgery Kaiser Foundation Hospital in San Francisco, CaliforniaResidency:Department of Surgery UC Davis in CaliforniaFellowship:Department of Surgery UC Davis in CaliforniaJohn Muir Medical Center ConcordJohn Muir Medical Center Walnut CreekSutter Delta Medical Center Antioch","Medical School:University of California Los Angeles, Internship:Department of Surgery Kaiser Foundation Hospital in San Francisco, California, Residency:Department of Surgery UC Davis in California, Fellowship:Department of Surgery UC Davis in California","John Muir Medical Center Concord, John Muir Medical Center Walnut Creek, Sutter Delta Medical Center Antioch","General Surgery, Breast Surgery","Pittsburg 2260 Gladstone Drive Suite 5 Pittsburg, CA 94565 Ph: 925-427-0203 Fx: 925-427-5181 | Concord 2485 High School Avenue Suite 222 Concord, CA 94520 Ph: 925-681-0650 Fx: 925-681-1849",
"Paul Campos, FNP",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,Bio Coming Soon,,,"Pain Medicine, Nurse Practitioner","Visalia 805 W. Acequia Avenue Suite 1D & 1B Visalia, CA 93291 Ph: 559-713-6515 Fx: 559-713-6516",www.pacificspineandpain.com
"Matthew P. Campbell, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Matthew-Campbell-Vascular-Surgeon.jpg,"Dr. Matthew Campbell is originally from Long Island, New York. Dr. Campbell completed hisvascular surgerytraining in 1997 at theBaylor College of Medicinein Houston, Texas. Dr. Campbell is board certified in vascular surgery and his clinical interests includeabdominal aortic aneurysms,carotid artery disease,peripheral vascular disease,varicose veinsand hemodialysis access.Dr. Campbell has been practicing vascular surgery in Visalia since 2005. In 2011, he formedSouth Valley Vascular Associates, Inc.with fellow vascular surgeonDr. Omar Araim.Dr. Campbell is married and has two children. In his free time, he likes to fly and is an avid baseball fan. He is also an outdoorsman and enjoys fishing, hiking and camping in the Sierra Nevada mountains.Medical School:The Autonomous University of Guadalajara in MexicoResidency:Brooklyn Hospital in New YorkFellowship:Baylor College of Medicine in Houston, TexasSutter Delta Medical CenterJohn Muir Health Walnut Creek Medical CenterEden Medical Center Castro ValleyAlta Bates Summit Medical CenterSutter Santa Rosa Regional HospitalKaweah Delta Medical CenterAdventist Medical Center HanfordSierra View District Hospital PortervilleTulare Regional Medical Center","Medical School:The Autonomous University of Guadalajara in Mexico, Residency:Brooklyn Hospital in New York, Fellowship:Baylor College of Medicine in Houston, Texas","Sutter Delta Medical Center, John Muir Health Walnut Creek Medical Center, Eden Medical Center Castro Valley, Alta Bates Summit Medical Center, Sutter Santa Rosa Regional Hospital, Kaweah Delta Medical Center, Adventist Medical Center Hanford, Sierra View District Hospital Porterville, Tulare Regional Medical Center",Vascular Surgery,"Visalia 820 S Akers Street Suite 120 Visalia, CA 93291 Ph: 559-625-4118 Fx: 559-625-6004 | Porterville 384 Pearson Drive Porterville, CA 93257 Ph: 559-788-1022 Fx: 559-625-6004 | Fresno 1646 E. Herndon Avenue Suite 106 Fresno, CA 93720 Ph: 559-746-9605 Fx: 559-558-8183",www.southvalleyvascular.com
"Devin T. Callister, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Devin-Callister-Internal-Medicine-Specialist.jpg,"Dr. Devin Callister obtained his Bachelor of Science in General Biology from the University of California San Diego.Dr. Callister then received his medical degree from Saint Louis University School of Medicine in Saint Louis, MO.Dr. Callister completed his residency in Internal Medicine from Stanford University Hospital in Palo Alto, CA and then continued his fellowship in Infectious Disease from Harbor-University of California Los Angeles in Torrance, CA. Dr. Callister joined the Infectious Disease Doctors Medical Group in 2015 which subsequently was when they joined BASS Medical Group.Medical School:Saint Louis University School of Medicine in MissouriResidency:Stanford University Hospital in Palo Alto, CaliforniaFellowship:Harbor-University of California Los Angeles in Torrance, CaliforniaSutter Delta Medical CenterJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical CenterHarbor UCLA Medical Center","Medical School:Saint Louis University School of Medicine in Missouri, Residency:Stanford University Hospital in Palo Alto, California, Fellowship:Harbor-University of California Los Angeles in Torrance, California","Sutter Delta Medical Center, John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center, Harbor UCLA Medical Center",Infectious Disease,"Walnut Creek 365 Lennon Lane Suite 200 Walnut Creek, CA 94598 Ph: 925-947-2334 Fx: 925-947-5889",www.iddoctors.com
"Aaron Cagle, NP",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,Biocoming soon,,,"Nurse Practitioner, Pain Medicine","Visalia 805 W. Acequia Avenue Suite 1D & 1B Visalia, CA 93291 Ph: 559-713-6515 Fx: 559-713-6516",www.pacificspineandpain.com
"S. Saeed Zamani, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Saeed-Zamani-Gastroenterologist.jpg,"Dr. S. Saeed Zamani is American Board certified in Gastroenterology and Internal Medicine. He has an extensive background in gastroenterology since 1987. He joined the University of California San Diego (UCSD) as a visiting professor and dedicated a prolific amount of time in research and on publications in gastrointestinal disorders.Dr. Zamani attended the internal medicine residency program at the University of Pennsylvania Health System in Philadelphia. He completed his fellowship in gastroenterology and hepatology at Thomas Jefferson University Medical Center in Philadelphia where he had extensive training in advanced endoscopy including endoscopic ultrasound (EUS), therapeutic ERCP, and gastrointestinal and liver disorders. He has extensive endoscopic experience in performing colonoscopy, upper endoscopy as well as new endoscopic ablative treatment for Barretts esophagus.Dr. Zamani has been a member of the Walnut Creek medical community for several years. His passion and enthusiasm in clinical and academic gastroenterology further strengthen our commitment to high quality patient care.Dr. Zamani continues to offer the most current and advanced gastrointestinal services and the highest standards of patient care.It is our goal and passion to provide safe, timely, effective, evidence-based and patient-centered care to our patients. To achieve the above goals, we have designed quality care initiatives to accommodate our patientsMedical School:Shiraz University Medical Center in IranResidency:University of Pennsylvania Health System in Philadelphia, Pennsylvania and Shiraz University Medical Center in IranFellowship:Thomas Jefferson University in Philadelphia, Pennsylvania and Behest University in Tehran, IranJohn Muir Health Walnut Creek Medical Center","Medical School:Shiraz University Medical Center in Iran, Residency:University of Pennsylvania Health System in Philadelphia, Pennsylvania and Shiraz University Medical Center in Iran, Fellowship:Thomas Jefferson University in Philadelphia, Pennsylvania and Behest University in Tehran, Iran",John Muir Health Walnut Creek Medical Center,Gastroenterology,"Walnut Creek 112 La Casa Via Suite 320 Walnut Creek, CA 94598 Ph: 925-939-5599 Fx: 925-939-4099 | Walnut Creek 1450 Treat Blvd Suite 200 Walnut Creek, CA 94597 Ph: 925-939-5099 Fx: 925-939-4099",
"John U. Zink, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2015/06/John-Zink-MD-e1540495473232.png,"Doctor Zink earned his Bachelor of Science degree with honors, from The Citadel, Military College of South Carolina. He received his medical degree from the University of South Carolina, School of Medicine, and graduated magna cum laude. Following his passion for general surgery he completed his general surgery residency at Emory University. During his education and training he worked for the Georgia Army National Guard as a Medical Command Captain. The National Guard acknowledged his commitment by awarding him the Army Reserve Components Achievement medal and Armed Forces Reserve medal. After completing his time with the national guard and finishing his residency in general surgery, he moved to Dallas, Texas where he completed a trauma and critical care surgery fellowship at the University of Texas Southwestern.Medical School:University of South Carolina School of Medicine in ColumbiaInternship:Emory University School of Medicine in Atlanta, GeorgiaResidency:Emory University School of Medicine in Atlanta, GeorgiaFellowship:University of Texas Southwestern in DallasJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center","Medical School:University of South Carolina School of Medicine in Columbia, Internship:Emory University School of Medicine in Atlanta, Georgia, Residency:Emory University School of Medicine in Atlanta, Georgia, Fellowship:University of Texas Southwestern in Dallas","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center","General Surgery, Surgical Critical Care","Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: 925-932-6330 Fx: 925-932-0139",
"J. Julian Zaka, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,"Dr. Zaka obtained his medical degree from St. Georges University in 2002. He continued his training at Coney Island Hospital in New York where he completed his internal medicine residency from 2002-2005. He also completed a pulmonary fellowship from 2005-2007 at Coney Island and served as chief fellow. Following his pulmonary fellowship, Dr. Zaka completed a critical care fellowship at The University of Medicine and Dentistry of New Jersey/Cooper University Hospital in Camden, New Jersey.He then entered private practice in Pittsburgh, Pennsylvania, from 2008-2011. Currently, he practices out of BASS Medical Groups Walnut Creek office.Dr. Zaka has served as a collaborative reviewer for the Yearbook of Critical Care Medicine and has published in the journal CHEST, as well as The Proceedings of the American Thoracic Society.He is board certified in internal medicine, pulmonary disease, critical care medicine, and sleep medicine. His special medical interests include critical care medicine and pulmonary hypertension. He is known as a knowledgeable physician who has a warm and friendly demeanor.Dr. Zaka lives in Walnut Creek with his wife and son. When not working, he enjoys soccer, basketball and spending time with his family.Medical School:St. Georges University in Grenada, West IndiesResidency:Coney Island Hospital in New YorkFellowship:Coney Island Hospital in New York andUniversity of Medicine and Dentistry of New Jersey/Cooper University Hospital in CamdenJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center","Medical School:St. Georges University in Grenada, West Indies, Residency:Coney Island Hospital in New York, Fellowship:Coney Island Hospital in New York andUniversity of Medicine and Dentistry of New Jersey/Cooper University Hospital in Camden","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center","Pulmonary Disease, Sleep Medicine, Critical Care Medicine","Walnut Creek 130 La Casa Via Building 2 Suite 208 Walnut Creek, CA 94598 Ph: 925-944-0166 Fx: 925-944-6355 | Walnut Creek 1455 Montego Suite 102 Walnut Creek, CA 94598 Ph: 925-935-7667 Fx: 925-945-7667 | Walnut Creek 141 Sand Creek Rd, Suite B Brentwood, CA 94513 Ph: 925-935-7667 Fx: 925-945-7667",www.rmgmd.com
"Dorothy Yip, PA",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dorothy-Yip-PA.jpg,"Dorothy Yip, PA-C, received her B.S. in Psychobiologyat UC Davis and completed her Masters in Physician Assistant Studies at Western University of Health Sciences in Southern California. She is a board-certified Physician Assistant at both national and state level. Dorothy has had extensive work experience in both family medicine and behavioral health and strongly cares about the physical and mental well-being of her patients. She is committed to applying the most updated evidence-based medicine guidelines in the assessment and treatment of her patients. She believes in working with her patients as a team in their pursuit of better health.Dorothy has been a Bay Area local since she moved to San Ramon from Hong Kong in her teens. She is currently living in Walnut Creek with her husband and their beloved feline/ canine children.When she is not working, Dorothy enjoys hiking, swimming and participating in animal rescues.Dorothy is fluent in English and Cantonese and is conversational in Mandarin.Bachelors of Science: PsychobiologyUniversity of California DavisMasters Degree: Physician Assistant StudiesWestern University of Health Sciences in Pomona Southern California","Bachelors of Science: PsychobiologyUniversity of California Davis, Masters Degree: Physician Assistant StudiesWestern University of Health Sciences in Pomona Southern California",,"Physician Assistant, Internal Medicine","Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: 925-930-9978 Fx: 925-930-9663 | Walnut Creek 2123 Ygnacio Valley Rd Bldg K Suite 100 Walnut Creek, CA 94598 Ph: 925-300-4680 Fx: 925-906-9780",www.calsinus.com
